0:0:0:0:0:0:0:1 - - [12/Apr/2024:21:12:27 +0700] "GET /MVC/ HTTP/1.1" 200 44653
0:0:0:0:0:0:0:1 - - [12/Apr/2024:21:12:28 +0700] "GET /MVC/vocab-lists HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [12/Apr/2024:21:12:36 +0700] "GET /MVC/vocab-lists/vocab?listID=6 HTTP/1.1" 200 8396
0:0:0:0:0:0:0:1 - - [12/Apr/2024:21:13:08 +0700] "POST /MVC/vocab-lists/vocab/create?listID=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2024:21:13:09 +0700] "GET /MVC/vocab-lists/vocab?listID=6 HTTP/1.1" 200 10759
0:0:0:0:0:0:0:1 - - [12/Apr/2024:21:29:40 +0700] "GET /MVC/vocab-lists/vocab?listID=6 HTTP/1.1" 200 10759
0:0:0:0:0:0:0:1 - - [12/Apr/2024:21:33:57 +0700] "POST /MVC/vocab-lists/vocab/delete?vocabID=3&listID=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2024:21:33:57 +0700] "GET /MVC/vocab-lists/vocab?listID=6 HTTP/1.1" 200 8396
0:0:0:0:0:0:0:1 - - [12/Apr/2024:21:52:28 +0700] "POST /MVC/vocab-lists/vocab/create?listID=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2024:21:52:28 +0700] "GET /MVC/vocab-lists/vocab?listID=6 HTTP/1.1" 200 10737
